
B	COMPLETE BUILDINGS/ STRUCTURES/ UNITS
B06	ENGINEERING SERVICES GENERAL DESCRIPTION	B
B06/110	EXISTING SITE AND SERVICES	B06
B06/120	BUILDING WORKS	B06
B06/130	DISPOSAL SYSTEMS	B06
B06/140	WATER SUPPLY SYSTEMS	B06
B06/150	MEDICAL GAS SUPPLY SYSTEMS	B06
B06/160	GAS SUPPLY SYSTEMS	B06
B06/170	LIQUID FUEL SUPPLY SYSTEMS	B06
B06/180	STEAM SUPPLY SYSTEMS	B06
B06/190	FIRE FIGHTING SYSTEMS	B06
B06/200	HEATING SYSTEMS	B06
B06/210	COOLING SYSTEMS	B06
B06/220	VENTILATION SYSTEMS	B06
B06/230	AIR CONDITIONING SYSTEMS	B06
B06/240	HIGH VOLTAGE SYSTEMS	B06
B06/250	LOW VOLTAGE SYSTEMS	B06
B06/260	GENERAL AND EMERGENCY LIGHTING SYSTEMS	B06
B06/270	COMMUNICATION SYSTEMS	B06
B06/280	TELECOMMUNICATION AND DATA SYSTEMS	B06
B06/290	SECURITY SYSTEMS	B06
B06/300	DETECTION AND ALARM SYSTEMS	B06
B06/310	PROTECTION SYSTEMS	B06
B06/315	DISPLAY AND INFORMATION SYSTEMS	B06
B06/320	TRANSPORT SYSTEMS	B06
B06/330	CONTROL SYSTEMS	B06
B11	PREFABRICATED BUILDING UNITS	B
B11/10	INFORMATION TO BE PROVIDED WITH TENDER	B11
B11/110	PREFABRICATED	B11
B11/205	CONTRACTOR'S DESIGN	B11
B11/207	STRUCTURAL DESIGN PROVIDED	B11
B11/210	SURROUNDING STRUCTURE/ FABRIC - PERFORMANCE VALUES	B11
B11/215	SURROUNDING STRUCTURE/ FABRIC - PERFORMANCE ASSESSMENT	B11
B11/225	ACOUSTIC PERFORMANCE	B11
B11/240	THERMAL INSULATION	B11
B11/245	DURABILITY	B11
B11/255	INTERSTITIAL CONDENSATION	B11
B11/261	SURFACE CONDENSATION	B11
B11/265	IMPACT RESISTANCE OF NON-LOADBEARING VERTICAL SURFACES	B11
B11/510	INFORMATION FROM MANUFACTURER	B11
B11/700	PROTOTYPES	B11
B11/710	TRANSPORTATION	B11
B11/740	SUPPORTING STRUCTURE	B11
B11/750	INSTALLATION	B11
B11/760	ASSEMBLY	B11
B11/910	DOCUMENTATION	B11
B13	MODULAR BUILDINGS	B
B13/10	INFORMATION TO BE PROVIDED WITH TENDER	B13
B13/110	MODULAR	B13
B13/210	CONTRACTOR'S DESIGN	B13
B13/212	STRUCTURAL DESIGN PROVIDED	B13
B13/225	ACOUSTIC PERFORMANCE OF DWELLINGS	B13
B13/231	ACOUSTIC PERFORMANCE OF SCHOOLS	B13
B13/235	ACOUSTIC PERFORMANCE	B13
B13/241	THERMAL INSULATION	B13
B13/245	DURABILITY	B13
B13/251	WATER PENETRATION	B13
B13/255	INTERSTITIAL CONDENSATION	B13
B13/257	INTERSTITIAL CONDENSATION	B13
B13/261	SURFACE CONDENSATION	B13
B13/263	IMPACT RESISTANCE OF NON-LOADBEARING VERTICAL SURFACES	B13
B13/265	ADDITIONAL SECURITY	B13
B13/267	ACCESSIBLE DESIGN	B13
B13/270	BREEAM	B13
B13/280	CODE FOR SUSTAINABLE HOMES	B13
B13/510	INFORMATION FROM MANUFACTURER	B13
B13/700	PROTOTYPE	B13
B13/710	TRANSPORTATION	B13
B13/740	SUPPORTING STRUCTURE	B13
B13/750	ERECTION	B13
B13/760	ASSEMBLY	B13
B13/770	ACCURACY OF ERECTION	B13
B13/910	DOCUMENTATION	B13
B14	PREFABRICATED PANELLED CONSTRUCTIONS	B
B14/10	INFORMATION TO BE PROVIDED WITH TENDER	B14
B14/110	PREFABRICATED PANELLED	B14
B14/210	CONTRACTOR'S DESIGN	B14
B14/212	STRUCTURAL DESIGN PROVIDED	B14
B14/225	ACOUSTIC PERFORMANCE – DWELLINGS	B14
B14/230	ACOUSTIC PERFORMANCE – SCHOOLS	B14
B14/235	ACOUSTIC PERFORMANCE	B14
B14/240	THERMAL INSULATION	B14
B14/245	DURABILITY	B14
B14/250	WATER PENETRATION	B14
B14/255	INTERSTITIAL CONDENSATION	B14
B14/260	SURFACE CONDENSATION	B14
B14/262	IMPACT RESISTANCE OF NON-LOADBEARING VERTICAL SURFACES	B14
B14/265	ADDITIONAL SECURITY	B14
B14/270	BREEAM	B14
B14/280	CODE FOR SUSTAINABLE HOMES	B14
B14/510	INFORMATION FROM MANUFACTURER	B14
B14/710	GENERAL	B14
B14/715	SAMPLE PANELS	B14
B14/720	SUPPORTING STRUCTURE	B14
B14/730	ERECTION	B14
B14/740	ACCURACY OF ERECTION	B14
B14/910	DOCUMENTATION	B14
B15	PREFABRICATED FRAMED CONSTRUCTIONS	B
